timestamp,frame_differencing,background_subtraction,contour_detection,ssim,mean
2025-03-16 01:02:29,33.58,14.46,33.0,25.33,26.59
2025-03-16 01:02:30,50.14,18.74,51.88,27.9,37.17
2025-03-16 01:02:31,,,,,
2025-03-16 01:02:31,,,,,
2025-03-16 01:02:31,,,,,
2025-03-16 01:02:31,51.65,15.85,53.28,25.35,36.53
2025-03-16 01:02:32,60.07,31.35,65.06,25.79,45.57
2025-03-16 01:02:32,,,,,
2025-03-16 01:02:33,67.91,21.77,74.03,28.39,48.02
2025-03-16 01:02:34,,,,,
2025-03-16 01:02:34,20.75,10.68,19.99,25.59,19.25
2025-03-16 01:02:34,,,,,
2025-03-16 01:02:35,36.14,13.18,36.33,24.1,27.44
2025-03-16 01:02:36,39.91,12.99,39.88,23.83,29.15
2025-03-16 01:02:37,35.44,11.71,36.64,24.36,27.04
2025-03-16 01:02:37,,,,,
2025-03-16 01:02:38,,,,,
2025-03-16 01:02:38,,,,,
2025-03-16 01:02:38,35.18,15.32,35.18,25.7,27.84
2025-03-16 01:02:39,38.54,8.88,39.05,20.16,26.66
2025-03-16 01:02:40,40.41,11.71,41.33,20.83,28.57
2025-03-16 01:02:41,38.47,16.36,38.25,27.28,30.09
2025-03-16 01:02:42,,,,,
2025-03-16 01:02:42,37.38,19.64,37.38,27.58,30.49
2025-03-16 01:02:43,37.35,11.79,38.53,23.25,27.73
2025-03-16 01:02:44,40.37,13.04,41.5,22.55,29.36
2025-03-16 01:02:45,42.89,12.71,45.09,18.71,29.85
2025-03-16 01:02:46,,,,,
2025-03-16 01:02:46,,,,,
2025-03-16 01:02:46,,,,,
2025-03-16 01:02:47,5.32,0.01,4.37,14.91,6.15
2025-03-16 01:02:47,,,,,
2025-03-16 01:02:48,5.18,0.01,4.24,15.5,6.23
2025-03-16 01:02:48,,,,,
2025-03-16 01:02:49,,,,,
2025-03-16 01:02:49,5.32,0.09,4.37,15.6,6.35
2025-03-16 01:02:50,5.32,0.1,4.36,15.65,6.36
2025-03-16 01:02:50,,,,,
2025-03-16 01:02:50,,,,,
2025-03-16 01:02:51,5.42,0.11,4.5,15.89,6.48
2025-03-16 01:02:51,,,,,
2025-03-16 01:02:52,5.73,0.12,4.89,16.39,6.78
2025-03-16 01:02:53,5.48,0.16,4.48,15.74,6.46
2025-03-16 01:02:53,,,,,
2025-03-16 01:02:53,,,,,
2025-03-16 01:02:53,,,,,
2025-03-16 01:02:53,,,,,
2025-03-16 01:02:54,,,,,
2025-03-16 01:02:54,,,,,
2025-03-16 01:02:54,5.44,0.02,4.55,16.06,6.52
2025-03-16 01:02:55,,,,,
2025-03-16 01:02:55,26.36,18.98,26.47,28.09,24.98
2025-03-16 01:02:56,46.22,15.13,46.99,26.01,33.59
2025-03-16 01:02:57,42.5,14.28,43.58,27.69,32.01
2025-03-16 01:02:58,52.4,22.75,56.15,24.02,38.83
2025-03-16 01:02:59,37.25,19.45,37.33,26.54,30.14
2025-03-16 01:03:00,19.81,6.63,20.09,21.14,16.92
2025-03-16 01:03:01,29.63,7.29,30.59,21.26,22.19
2025-03-16 01:03:02,,,,,
2025-03-16 01:03:02,,,,,
2025-03-16 01:03:02,37.55,9.87,38.87,22.33,27.15
2025-03-16 01:03:03,,,,,
2025-03-16 01:03:03,40.84,10.92,41.76,21.75,28.82
2025-03-16 01:03:04,41.12,11.86,41.81,22.29,29.27
2025-03-16 01:03:05,42.32,12.79,43.62,23.62,30.58
2025-03-16 01:03:05,,,,,
2025-03-16 01:03:05,,,,,
2025-03-16 01:03:06,42.7,12.78,44.52,23.26,30.81
2025-03-16 01:03:07,,,,,
2025-03-16 01:03:07,,,,,
2025-03-16 01:03:07,79.69,35.77,93.81,25.1,58.59
2025-03-16 01:03:07,,,,,
2025-03-16 01:03:08,,,,,
2025-03-16 01:03:08,31.62,10.15,32.14,24.16,24.52
2025-03-16 01:03:09,38.35,11.18,38.47,24.05,28.02
2025-03-16 01:03:10,35.53,8.42,36.24,22.08,25.57
2025-03-16 01:03:11,,,,,
2025-03-16 01:03:11,,,,,
2025-03-16 01:03:11,,,,,
2025-03-16 01:03:11,35.46,9.13,35.85,22.52,25.74
2025-03-16 01:03:12,,,,,
2025-03-16 01:03:12,,,,,
2025-03-16 01:03:12,38.41,10.44,38.69,23.3,27.71
2025-03-16 01:03:13,39.28,11.18,40.15,21.95,28.14
2025-03-16 01:03:14,38.97,10.93,39.69,22.23,27.95
2025-03-16 01:03:15,,,,,
2025-03-16 01:03:15,39.46,10.74,40.74,22.02,28.24
2025-03-16 01:03:16,39.42,10.74,40.96,22.24,28.34
2025-03-16 01:03:18,40.62,11.83,42.06,23.63,29.54
2025-03-16 01:03:18,,,,,
2025-03-16 01:03:18,,,,,
2025-03-16 01:03:18,,,,,
2025-03-16 01:03:19,33.92,7.37,34.08,19.19,23.64
2025-03-16 01:03:20,23.45,3.64,24.31,20.64,18.01
2025-03-16 01:03:20,,,,,
2025-03-16 01:03:21,23.66,3.72,24.3,21.28,18.24
2025-03-16 01:03:21,,,,,
2025-03-16 01:03:21,,,,,
2025-03-16 01:03:21,,,,,
2025-03-16 01:03:21,,,,,
2025-03-16 01:03:22,25.08,4.03,26.25,21.32,19.17
2025-03-16 01:03:22,,,,,
2025-03-16 01:03:23,25.37,4.07,26.06,21.36,19.21
2025-03-16 01:03:24,24.8,4.02,25.83,21.48,19.03
2025-03-16 01:03:24,,,,,
2025-03-16 01:03:24,,,,,
